image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-39826,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39826,usr/local/bin/longhornctl,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_present
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,affected,
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-39836,HIGH,https://avd.aquasec.com/nvd/cve-2026-39836,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,affected,
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-33811,HIGH,https://avd.aquasec.com/nvd/cve-2026-33811,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-39820,HIGH,https://avd.aquasec.com/nvd/cve-2026-39820,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_present
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-39823,HIGH,https://avd.aquasec.com/nvd/cve-2026-39823,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_present
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-39825,HIGH,https://avd.aquasec.com/nvd/cve-2026-39825,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-42499,HIGH,https://avd.aquasec.com/nvd/cve-2026-42499,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_present
longhornio/longhorn-cli:v1.11.2,longhorn/v1.11.2,stdlib,v1.25.9,gobinary,CVE-2026-39826,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39826,usr/local/bin/longhornctl-local,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_present
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),2.38-150600.14.49.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,libgnutls30,3.8.3-150600.4.17.1,sles,SUSE-SU-2026:2115-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),3.8.3-150600.4.20.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,libldb2,4.21.10+git.449.dcced69e1b5-150700.3.19.1,sles,SUSE-SU-2026:2076-1,CRITICAL,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),4.21.10+git.501.277ba349a01-150700.3.26.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,libopenssl1_1,1.1.1w-150700.11.16.1,sles,SUSE-SU-2026:2392-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),1.1.1w-150700.11.22.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,qemu-img,9.2.4-150700.3.17.1,sles,SUSE-SU-2026:2385-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),9.2.4-150700.3.20.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,qemu-pr-helper,9.2.4-150700.3.17.1,sles,SUSE-SU-2026:2385-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),9.2.4-150700.3.20.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,qemu-tools,9.2.4-150700.3.17.1,sles,SUSE-SU-2026:2385-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),9.2.4-150700.3.20.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,samba-client-libs,4.21.10+git.449.dcced69e1b5-150700.3.19.1,sles,SUSE-SU-2026:2076-1,CRITICAL,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),4.21.10+git.501.277ba349a01-150700.3.26.1,false,affected,
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,jq,1.6-150000.3.12.1,sles,SUSE-SU-2026:2283-1,MEDIUM,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),1.6-150000.3.15.1,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,liblzma5,5.4.1-150600.3.3.1,sles,SUSE-SU-2026:2051-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),5.4.1-150600.3.6.1,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,libpython3_6m1_0,3.6.15-150300.10.109.1,sles,SUSE-SU-2026:1715-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),3.6.15-150300.10.118.1,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,python3-base,3.6.15-150300.10.109.1,sles,SUSE-SU-2026:1715-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),3.6.15-150300.10.118.1,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,qemu-vmsr-helper,9.2.4-150700.3.17.1,sles,SUSE-SU-2026:2385-1,HIGH,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),9.2.4-150700.3.20.1,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-engine:v1.11.2,longhorn/v1.11.2,sed,4.9-150600.1.4,sles,SUSE-SU-2026:1941-1,MEDIUM,,longhornio/longhorn-engine:v1.11.2 (sles 15.7),4.9-150600.3.3.1,false,not_affected,vulnerable_code_not_in_execute_path
